name,code,type,cohort,subject,year,value
Chicago,XC,city,2,mathematics,2019,275.264123861708
Chicago,XC,city,2,mathematics,2022,263.028552787497
Chicago,XC,city,1,reading,2019,208.451119256522
Chicago,XC,city,1,reading,2022,205.197399460455
Chicago,XC,city,2,reading,2019,252.855417986713
Chicago,XC,city,2,reading,2022,251.440803398275
Houston,XH,city,1,mathematics,2019,235.328825463302
Houston,XH,city,1,mathematics,2022,225.894266354377
Houston,XH,city,2,mathematics,2019,274.065070023094
Houston,XH,city,2,mathematics,2022,264.672245551537
Houston,XH,city,1,reading,2019,204.12744625719
Houston,XH,city,1,reading,2022,202.537295156831
Houston,XH,city,2,reading,2019,248.672521146535
Houston,XH,city,2,reading,2022,246.680192536918
Philadelphia,XP,city,1,mathematics,2019,217.147790215384
Philadelphia,XP,city,1,mathematics,2022,209.031627046432
Philadelphia,XP,city,2,mathematics,2019,256.431075810537
Philadelphia,XP,city,2,mathematics,2022,252.347421186211
Philadelphia,XP,city,1,reading,2019,196.893123072935
Philadelphia,XP,city,1,reading,2022,194.8933350005
Philadelphia,XP,city,2,reading,2019,242.871797810864
Philadelphia,XP,city,2,reading,2022,241.793253581863
